name,sku,barcode,category,price,cost,stock,description,brand,unit,weight,tax_rate,is_active
RoastHouse Premium Coffee Beans 500g,PROD030,100000000030,basic_groceries,12.99,8.00,15,Arabica coffee beans,RoastHouse,bag,0.5,0.10,TRUE
SafeHands Hand Sanitizer 250ml,PROD031,100000000031,personal_care,6.49,3.20,40,Alcohol-based sanitizer,SafeHands,bottle,0.25,0.00,TRUE
Orchard Strawberries 250g,PROD032,100000000032,staple_foods,3.29,1.40,90,Fresh strawberries,Orchard,pack,0.25,0.00,TRUE
MovieSnack Microwave Popcorn 100g,PROD033,100000000033,snacks_chips,2.19,0.90,170,Microwave popcorn,MovieSnack,bag,0.12,0.07,TRUE
DailyBake Plain Bagel,PROD034,100000000034,bread_baked,1.69,0.70,210,Fresh plain bagel,DailyBake,pcs,0.08,0.05,TRUE
GoodDairy Mature Cheddar 200g,PROD035,100000000035,dairy_eggs,5.49,2.80,45,Mature cheddar cheese,GoodDairy,pack,0.2,0.05,TRUE
CleanHome Kitchen Sponges (3),PROD036,100000000036,household_items,3.29,1.50,100,Pack of 3 cleaning sponges,CleanHome,pack,0.12,0.00,TRUE
MeatTreat Beef Jerky 50g,PROD037,100000000037,snacks_chips,2.59,1.10,125,Smoked beef jerky,MeatTreat,pack,0.05,0.07,TRUE
TeaTime Green Tea Bags 100,PROD038,100000000038,basic_groceries,9.99,6.00,35,Green tea bags box,TeaTime,box,0.25,0.00,TRUE
Orchard Hass Avocado (each),PROD039,100000000039,staple_foods,4.99,2.50,60,Fresh hass avocado,Orchard,ea,0.2,0.00,TRUE
DailyBake Chocolate Donut,PROD040,100000000040,bread_baked,2.29,1.00,150,Chocolate glazed donut,DailyBake,pcs,0.09,0.05,TRUE
GlowSkin Day Moisturizer 50ml,PROD041,100000000041,personal_care,7.99,4.00,30,Lightweight face moisturizer,GlowSkin,tube,0.05,0.00,TRUE
SpiceIt Salsa Dip Mild 250g,PROD042,100000000042,sweets_treats,3.19,1.50,110,Tomato salsa dip,SpiceIt,jar,0.3,0.07,TRUE
HomeFit Vacuum Cleaner Bags x10,PROD043,100000000043,household_items,14.99,8.50,20,Vacuum cleaner replacement bags,HomeFit,pack,0.2,0.00,TRUE
HealthyHarvest Extra Virgin Olive Oil 1L,PROD044,100000000044,basic_groceries,15.99,9.00,18,Extra virgin olive oil,HealthyHarvest,bottle,1.0,0.00,TRUE
GreenFarm English Cucumber (each),PROD045,100000000045,staple_foods,2.79,1.10,130,Fresh cucumber,GreenFarm,ea,0.3,0.00,TRUE
FarmFresh Chocolate Flavoured Milk 250ml,PROD046,100000000046,dairy_eggs,1.59,0.70,160,Chocolate milk drink,FarmFresh,bottle,0.25,0.05,TRUE
CrunchCo Mini Pretzels 120g,PROD047,100000000047,snacks_chips,2.89,1.30,95,Mini salted pretzels,CrunchCo,bag,0.1,0.07,TRUE
DailyBake Banana Bread Loaf 500g,PROD048,100000000048,bread_baked,4.59,2.20,50,Banana loaf cake,DailyBake,loaf,0.5,0.05,TRUE
ClearView Window Cleaner 750ml,PROD049,100000000049,household_items,6.49,3.20,70,Glass cleaner spray,ClearView,bottle,0.75,0.00,TRUE
Nutty Gourmet Mixed Nuts 300g,PROD050,100000000050,snacks_chips,5.99,3.00,40,Gourmet mixed nuts,Nutty,jar,0.3,0.07,TRUE
